year,km_driven,fuel,transmission,owner,mileage,engine,max_power,seats,selling_price
2006,179737,Diesel,Automatic,Second Owner,19,1135,196,7,10159166
2006,108700,CNG,Manual,First Owner,17,2876,99,6,10809821
2009,102077,Diesel,Automatic,First Owner,17,2642,182,4,10777138
2005,139537,CNG,Automatic,Third Owner,11,2761,84,4,10613909
2005,73247,Diesel,Automatic,First Owner,13,1643,114,5,10510028
2006,187631,Petrol,Manual,Third Owner,22,2440,142,7,10532103
2016,161270,Petrol,Manual,Second Owner,22,844,48,5,10055740
2010,59740,CNG,Automatic,Second Owner,13,1924,74,4,10601508
2008,158560,Diesel,Manual,Second Owner,24,2049,49,4,10405620
2015,174587,CNG,Automatic,Second Owner,11,1415,143,5,10250686
2021,32898,Petrol,Automatic,First Owner,20,1564,166,4,10636275
2010,137991,CNG,Manual,First Owner,18,2500,196,6,10768578
2009,186142,Diesel,Manual,Third Owner,21,2279,155,6,10463275
2006,67613,CNG,Automatic,Third Owner,23,1333,84,4,10379872
2010,101707,Diesel,Manual,Third Owner,13,1892,116,7,10499316
2015,116777,Diesel,Manual,First Owner,13,2404,157,4,10677045
2020,52003,Petrol,Manual,Third Owner,24,2069,92,5,10723283
2020,53478,Diesel,Manual,First Owner,24,1374,123,7,10548253
2005,150506,Diesel,Automatic,Second Owner,13,1036,41,6,10111471
2013,182318,Diesel,Automatic,First Owner,14,1330,171,6,10266691
2010,172721,CNG,Manual,Second Owner,19,2052,58,6,10424788
2020,64030,Petrol,Automatic,Third Owner,21,2332,138,6,10804417
2007,189133,CNG,Manual,First Owner,21,926,178,6,10103227
2008,138071,CNG,Manual,Third Owner,17,1457,122,7,10318525
2007,150921,Petrol,Manual,Third Owner,13,2664,199,6,10765967
2011,57800,CNG,Automatic,Second Owner,12,1937,181,7,10652544
2013,10445,CNG,Automatic,Third Owner,20,1968,108,5,10697402
2005,154112,Diesel,Automatic,First Owner,10,2496,192,4,10666019
2012,5246,CNG,Manual,Third Owner,11,2530,181,7,11002309
2011,36153,Petrol,Automatic,Second Owner,13,1988,179,6,10772003
2022,10212,CNG,Automatic,Second Owner,18,1998,163,5,10842912
2012,139411,Diesel,Manual,Third Owner,24,2180,123,5,10532401
2005,61238,CNG,Manual,Second Owner,23,2375,157,4,10776976
2015,155466,Petrol,Manual,Third Owner,10,1965,156,4,10517701
2022,58871,Diesel,Manual,Second Owner,15,1569,57,7,10544169
2014,105672,CNG,Automatic,Third Owner,15,1990,40,7,10509569
2007,39607,Petrol,Automatic,Third Owner,19,2142,146,4,10741629
2011,57055,Petrol,Manual,First Owner,12,2454,43,4,10731998
2020,109509,CNG,Manual,First Owner,19,1457,51,4,10329841
2020,140467,CNG,Manual,Third Owner,18,2685,193,5,10795369
2021,132378,Diesel,Manual,First Owner,23,1788,199,4,10614532
2006,151362,CNG,Automatic,First Owner,19,1877,140,5,10397964
2005,92687,Diesel,Manual,Second Owner,12,921,118,6,10273989
2020,70078,CNG,Manual,First Owner,10,1633,91,6,10503235
2016,139763,Petrol,Automatic,Second Owner,11,2478,138,7,10710998
2009,143542,Petrol,Manual,First Owner,24,2869,129,7,10771906
2009,139913,Petrol,Manual,First Owner,24,2099,54,4,10405920
2013,107652,Petrol,Manual,Third Owner,13,2684,175,7,10865844
2013,68197,Diesel,Manual,First Owner,13,2762,69,6,10873185
2007,60773,Petrol,Manual,Third Owner,11,1207,166,7,10394597
2020,153848,Diesel,Automatic,Third Owner,19,1281,165,5,10335623
2020,123943,Diesel,Automatic,Third Owner,15,2962,134,7,10853810
2007,32584,Diesel,Automatic,Third Owner,24,2259,47,6,10728303
2005,140372,CNG,Automatic,First Owner,15,2692,132,6,10709163
2015,8338,Diesel,Manual,Third Owner,12,2285,184,6,10928332
2021,67601,CNG,Manual,First Owner,10,2289,55,6,10669410
2012,141559,Diesel,Manual,First Owner,19,1881,152,5,10474954
2008,41282,CNG,Manual,Second Owner,18,2852,84,7,10877414
2010,120447,CNG,Manual,Second Owner,13,2700,177,6,10757278
2012,100798,Petrol,Manual,Second Owner,18,2621,186,7,10784730
2007,135963,Diesel,Automatic,Third Owner,14,1064,89,4,10214518
2020,113611,CNG,Manual,First Owner,16,2072,99,5,10568793
2007,164876,Petrol,Manual,First Owner,12,2942,107,4,10662275
2022,145987,Diesel,Automatic,Third Owner,24,2686,166,5,10794013
2018,16158,Petrol,Automatic,Second Owner,12,2632,199,6,11025011
2022,15547,CNG,Manual,Second Owner,17,1496,119,7,10634923
2006,93713,Petrol,Automatic,First Owner,10,2280,128,5,10679212
2007,7459,Petrol,Automatic,First Owner,17,1540,125,4,10588562
2020,164840,Diesel,Manual,First Owner,17,1573,191,4,10442027
2013,68146,CNG,Manual,Second Owner,12,918,67,7,10291947
2008,108577,Diesel,Automatic,First Owner,10,2569,190,5,10753047
2005,186942,Diesel,Automatic,Second Owner,18,2067,102,4,10402108
2008,112761,Petrol,Automatic,Second Owner,13,1917,157,4,10573823
2005,108727,CNG,Automatic,Second Owner,16,1612,166,5,10409201
2018,55460,Diesel,Automatic,Third Owner,18,837,112,6,10353447
2020,87970,CNG,Automatic,Third Owner,12,1042,105,6,10324441
2012,196889,Diesel,Manual,First Owner,14,2187,67,7,10389267
2011,174319,Petrol,Manual,Second Owner,19,2798,193,6,10690911
2007,20419,Diesel,Automatic,First Owner,20,1654,99,7,10552970
2021,40577,Diesel,Automatic,Second Owner,22,2597,167,4,11013878
2005,7921,Diesel,Manual,First Owner,12,974,64,4,10387740
2020,140748,CNG,Automatic,First Owner,14,2512,188,6,10711908
2016,185756,Petrol,Manual,Third Owner,20,1471,64,5,10176429
2018,149535,CNG,Automatic,Third Owner,11,1493,97,6,10299615
2010,161546,Diesel,Automatic,Third Owner,13,1347,77,7,10250137
2010,45935,Petrol,Automatic,Third Owner,21,2680,85,7,10883588
2017,130534,CNG,Automatic,Second Owner,11,1922,152,5,10531506
2012,194668,Diesel,Manual,First Owner,12,1072,139,4,10141895
2006,77828,Petrol,Manual,First Owner,24,1583,171,4,10536539
2005,128649,Petrol,Manual,Second Owner,14,2009,186,6,10575798
2019,94062,Diesel,Manual,Second Owner,18,1739,63,7,10456435
2005,60152,Petrol,Automatic,First Owner,12,1251,94,7,10342021
2009,101491,Petrol,Manual,Third Owner,19,2328,192,5,10771529
2020,91569,CNG,Manual,Third Owner,15,893,111,5,10296726
2008,77467,Petrol,Manual,Third Owner,13,2130,166,6,10691034
2007,188648,CNG,Automatic,Second Owner,13,2561,104,5,10510731
2021,161844,CNG,Automatic,First Owner,20,2688,107,4,10690443
2021,152435,CNG,Automatic,Second Owner,22,1753,179,5,10538775
2016,164562,CNG,Automatic,First Owner,24,1896,192,7,10497629
2018,195076,Petrol,Automatic,Third Owner,24,1968,188,7,10494345
2010,127537,Petrol,Manual,Third Owner,19,1707,186,7,10508799
2007,58806,CNG,Manual,Third Owner,19,2487,109,7,10794002
2013,136332,Petrol,Manual,First Owner,22,2903,93,4,10717561
2009,80992,CNG,Manual,Third Owner,14,1433,42,6,10351122
2021,27320,CNG,Automatic,First Owner,24,1003,72,5,10397111
2018,83971,CNG,Manual,Second Owner,20,815,46,6,10230301
2007,178217,Diesel,Automatic,Third Owner,16,925,144,6,10115097
2005,199760,Petrol,Automatic,Second Owner,20,2701,194,5,10650873
2005,53581,Petrol,Manual,Second Owner,23,2378,40,7,10698438
2007,98645,CNG,Manual,First Owner,13,878,185,7,10323033
2022,25754,Petrol,Manual,Second Owner,17,1588,120,7,10623925
2014,74837,CNG,Manual,First Owner,21,2202,78,5,10673681
2007,143279,Petrol,Manual,First Owner,22,2311,163,5,10592223
2012,163992,CNG,Automatic,Second Owner,18,924,50,7,10014794
2018,128746,CNG,Manual,First Owner,18,1417,140,4,10412325
2022,119780,Diesel,Automatic,First Owner,18,1541,84,6,10440538
2019,92081,CNG,Automatic,First Owner,11,880,170,4,10322330
2006,29016,Diesel,Manual,Second Owner,12,2444,99,6,10815000
2014,65522,Petrol,Automatic,First Owner,14,974,131,6,10407815
2006,125896,Petrol,Automatic,Third Owner,21,1475,97,4,10290267
2021,190140,Diesel,Automatic,Second Owner,10,1147,150,6,10219207
2012,117099,Petrol,Automatic,Second Owner,13,2712,73,4,10760203
2005,156174,Diesel,Automatic,First Owner,20,2190,195,7,10601514
2013,109429,Petrol,Manual,Second Owner,23,2358,100,5,10702308
2015,6924,Diesel,Manual,Third Owner,23,2238,160,6,10888317
2020,90015,Diesel,Manual,Second Owner,14,1523,149,4,10482260
2011,109987,CNG,Automatic,Second Owner,18,2075,183,5,10602942
2014,59333,Petrol,Automatic,Second Owner,17,1407,164,6,10558799
2007,182171,CNG,Manual,First Owner,10,1157,54,6,10110154
2022,193418,Diesel,Automatic,Third Owner,23,1888,43,6,10287758
2017,131372,CNG,Automatic,Third Owner,22,1092,62,6,10207895
2011,186134,Diesel,Automatic,Third Owner,21,2147,119,5,10477707
2008,136378,Petrol,Automatic,Second Owner,12,1790,55,6,10377620
2017,93495,Petrol,Automatic,Third Owner,23,2982,127,6,10967965
2005,74767,Petrol,Manual,First Owner,23,1619,92,5,10449041
2012,109332,Diesel,Manual,Second Owner,12,929,49,5,10191751
2018,148279,CNG,Automatic,First Owner,20,2759,185,6,10786907
2020,44426,Petrol,Manual,Second Owner,15,1392,92,5,10525668
2018,11336,Diesel,Manual,First Owner,13,2724,55,5,10922084
2016,117200,CNG,Automatic,Second Owner,13,2455,167,4,10741375
2019,22256,Diesel,Manual,First Owner,10,1413,154,5,10605148
2006,185889,Diesel,Manual,Third Owner,21,2318,96,7,10451942
2006,38719,Petrol,Automatic,Second Owner,19,1338,62,4,10405809
2021,47017,Diesel,Manual,Second Owner,22,1060,79,7,10401135
2014,50704,Diesel,Automatic,First Owner,21,2484,181,4,10899151
2010,35013,CNG,Manual,First Owner,20,2050,119,4,10756242
2019,84991,Petrol,Manual,First Owner,13,2612,57,4,10762766
2015,75258,Diesel,Manual,Second Owner,10,2642,143,4,10831428
2009,83348,Diesel,Manual,First Owner,24,2670,40,5,10705428
2005,172848,CNG,Automatic,Third Owner,14,1027,120,7,10143329
2012,15060,Diesel,Automatic,First Owner,22,2237,131,5,10831116
2016,142727,Diesel,Manual,First Owner,12,2059,191,5,10636138
2016,54923,Diesel,Automatic,First Owner,22,1843,156,6,10670840
2009,83563,Diesel,Automatic,Third Owner,19,988,104,5,10277743
2011,140102,Diesel,Manual,First Owner,14,2440,57,4,10514562
2008,94779,CNG,Manual,First Owner,23,2208,129,6,10594320
2010,169361,Diesel,Automatic,Second Owner,12,2766,53,6,10564360
2017,155811,Diesel,Automatic,Second Owner,14,1464,58,5,10282716
2019,104704,Diesel,Automatic,First Owner,13,2041,121,7,10636861
2007,134157,Diesel,Automatic,Second Owner,18,820,148,6,10132790
2012,115234,Petrol,Manual,First Owner,23,1983,46,5,10454217
2020,66687,Petrol,Automatic,First Owner,15,2315,103,5,10776521
2017,41491,Petrol,Automatic,Third Owner,21,1228,41,4,10409423
2022,77115,Petrol,Automatic,First Owner,24,2689,46,7,10847070
2014,122935,CNG,Manual,Second Owner,23,1790,67,6,10470669
2021,88778,Petrol,Automatic,Second Owner,19,1022,131,7,10328945
2009,140853,CNG,Automatic,Second Owner,11,1759,120,7,10363155
2013,25448,Petrol,Manual,Second Owner,10,957,69,7,10391759
2016,56550,CNG,Manual,First Owner,10,2807,124,6,10890111
2005,54294,Petrol,Automatic,Third Owner,10,1600,75,6,10506373
2005,26446,Diesel,Manual,Third Owner,18,1521,155,7,10596183
2019,81579,Petrol,Automatic,First Owner,14,2054,61,5,10596163
2006,119679,Petrol,Automatic,Second Owner,23,1244,118,6,10309457
2020,90615,Petrol,Manual,Third Owner,13,904,117,4,10354219
2012,22101,Diesel,Manual,Third Owner,19,2461,194,7,10919437
2017,33016,CNG,Manual,First Owner,14,1682,165,6,10686285
2005,155004,CNG,Automatic,Second Owner,18,2122,49,6,10392865
2020,180725,Diesel,Manual,Third Owner,12,1891,61,7,10381713
2011,95481,Petrol,Automatic,First Owner,12,1337,190,4,10421104
2009,57802,Petrol,Manual,Third Owner,21,2443,91,5,10783941
2007,12549,Petrol,Automatic,Third Owner,11,1600,87,5,10560829
2016,161434,CNG,Automatic,Second Owner,17,1864,108,6,10425148
2020,52842,CNG,Manual,Second Owner,16,2371,40,4,10741161
2009,51539,Diesel,Manual,Third Owner,11,2229,136,4,10780544
2018,38717,Diesel,Automatic,Second Owner,13,2331,110,7,10795691
2009,190668,CNG,Manual,Third Owner,16,1041,191,7,10184769
2019,159088,Petrol,Manual,Third Owner,10,2162,182,4,10562879
2021,191272,Petrol,Manual,Third Owner,10,2867,120,5,10745708
2018,196359,Petrol,Manual,First Owner,17,2678,88,7,10571029
2009,120042,Petrol,Manual,Second Owner,15,2691,134,7,10777030
2016,132922,Diesel,Manual,Second Owner,11,1839,157,5,10531175
2020,97447,Diesel,Manual,Third Owner,19,1100,137,5,10348228
2020,88402,CNG,Automatic,Second Owner,19,964,113,7,10291635
2011,47607,Diesel,Manual,Third Owner,24,2081,76,4,10675597
2008,163693,Petrol,Automatic,Second Owner,10,2411,113,7,10591288
2005,17823,CNG,Manual,Second Owner,12,1820,167,5,10734688
2009,34986,Diesel,Automatic,Third Owner,21,2349,49,7,10711267
2014,126682,Diesel,Automatic,Second Owner,13,2768,141,6,10811142
2009,69325,Diesel,Manual,Third Owner,22,1677,92,5,10525804
2008,132925,Diesel,Manual,First Owner,14,2120,175,7,10550211
2006,62771,Diesel,Manual,Third Owner,20,2779,114,6,10806192
2014,59973,Petrol,Manual,Second Owner,19,2040,123,5,10641141
2005,150762,Petrol,Automatic,First Owner,12,1230,191,6,10332432
2009,44107,Petrol,Automatic,First Owner,24,2054,90,4,10629882
2017,62888,Diesel,Manual,Third Owner,24,2917,110,5,10922512
2008,15956,CNG,Automatic,First Owner,22,1934,188,6,10728732
2020,91839,Petrol,Manual,Third Owner,23,801,147,4,10262623
2020,192299,Petrol,Automatic,Second Owner,14,2750,45,6,10631942
2006,172605,Diesel,Manual,Third Owner,21,989,70,5,10053551
2021,192306,CNG,Automatic,First Owner,16,821,179,5,10173911
2016,106131,Petrol,Manual,Third Owner,20,2861,140,5,10844513
2022,72594,Petrol,Automatic,Third Owner,18,2541,180,4,10882190
2007,192973,CNG,Manual,Second Owner,14,2369,88,7,10487905
2005,16519,Diesel,Manual,Third Owner,13,2287,70,5,10776234
2005,167187,CNG,Automatic,Second Owner,19,1367,48,4,10098947
2015,6832,Diesel,Automatic,First Owner,20,2772,194,4,11109566
2009,177440,Petrol,Automatic,First Owner,22,2223,155,5,10553597
2016,118922,CNG,Automatic,Third Owner,18,1605,154,5,10505019
2007,110474,CNG,Automatic,Third Owner,17,1713,90,5,10429455
2005,74715,Petrol,Manual,First Owner,14,1567,111,5,10480367
2005,76835,Petrol,Automatic,First Owner,18,1933,194,7,10634061
2012,78366,Diesel,Automatic,First Owner,20,847,167,7,10281390
2014,42570,Petrol,Automatic,Third Owner,23,1543,101,6,10598105
2015,142687,Petrol,Automatic,First Owner,18,1905,97,7,10437821
2016,43311,CNG,Manual,Third Owner,10,2101,182,6,10777523
2017,95245,Diesel,Manual,First Owner,21,1180,109,6,10402751
2016,108187,Petrol,Manual,First Owner,15,1109,47,4,10277152
2018,28434,CNG,Manual,Third Owner,20,1341,102,7,10531221
2006,91879,Petrol,Automatic,Second Owner,14,1566,70,7,10392284
2022,20739,Petrol,Manual,Third Owner,15,2006,127,7,10750767
2007,71202,Petrol,Manual,Second Owner,19,983,154,4,10352277
2021,103580,Petrol,Automatic,Third Owner,12,2781,80,6,10840314
2012,84599,Diesel,Automatic,Second Owner,23,1438,40,7,10369335
2014,169721,CNG,Automatic,Second Owner,12,2260,113,5,10561351
2006,183517,CNG,Automatic,Second Owner,19,1393,72,4,10126222
2013,121770,Petrol,Automatic,Third Owner,14,2056,147,4,10536157
2011,44470,CNG,Automatic,Third Owner,16,2644,76,4,10821937
2008,79965,Petrol,Manual,Third Owner,13,800,163,4,10306225
2022,130332,CNG,Manual,Second Owner,15,1518,96,6,10384080
2017,184693,Diesel,Automatic,Second Owner,14,1082,50,6,10054200
2015,134681,Diesel,Manual,Third Owner,11,2009,123,7,10553064
2008,168998,CNG,Automatic,Third Owner,22,2969,86,7,10699577
2008,119300,Petrol,Automatic,First Owner,20,1240,128,4,10252644
2014,42997,Petrol,Manual,First Owner,21,1438,162,5,10612408
2009,196012,Petrol,Manual,First Owner,10,1273,171,6,10172449
2013,176796,Petrol,Manual,First Owner,15,2657,122,4,10592654
2007,102805,Diesel,Manual,First Owner,14,1740,116,6,10506353
2021,167776,Petrol,Manual,Third Owner,18,1459,179,4,10364905
2007,127202,Petrol,Automatic,Second Owner,21,1091,167,5,10280097
2020,164463,Petrol,Manual,Second Owner,16,1046,105,4,10162731
2008,199363,Petrol,Manual,Third Owner,10,2741,190,4,10692842
2022,7526,Diesel,Automatic,Third Owner,22,987,94,4,10462690
2021,160758,CNG,Manual,Third Owner,19,2346,186,5,10667599
2011,78339,CNG,Manual,First Owner,15,1356,106,7,10431288
2009,11574,Petrol,Manual,First Owner,20,1947,190,7,10845328
2016,13733,Petrol,Manual,First Owner,16,1046,43,7,10438001
